method,brier_score,ece,log_loss,pr_auc,roc_auc,calibration_slope,calibration_intercept,unique_probabilities,modal_probability,modal_share,resolution,probability_entropy,p01,p10,p25,p50,p75,p90,p99,fraction_below_0_05,fraction_0_05_to_0_35,fraction_above_0_35
raw,0.1054,0.2001,0.3576,0.1237,0.6591,0.5814,-2.4121,1047,0.0794,0.0033,0.8725,9.9594,0.0392,0.0772,0.1149,0.1833,0.3231,0.5457,0.7875,0.0292,0.7475,0.2233
platt,0.0434,0.0021,0.179,0.1237,0.6591,1.2867,0.8275,464,0.032,0.0108,0.3867,8.3881,0.027,0.0294,0.032,0.0372,0.0506,0.0817,0.1344,0.7467,0.2533,0.0
isotonic,0.0422,0.0,0.1712,0.12,0.7008,0.9781,-0.0597,8,0.0257,0.745,0.0067,1.2544,0.0001,0.0257,0.0257,0.0257,0.0257,0.1162,0.1818,0.7983,0.1983,0.0033
beta,0.0433,0.0034,0.1787,0.1237,0.6591,1.0132,0.0372,524,0.0291,0.0092,0.4367,8.6346,0.0203,0.0251,0.0289,0.0352,0.0493,0.0841,0.189,0.7533,0.2467,0.0
