threshold,precision,recall,f1_score,fraud_caught,fraud_missed,false_positives,true_negatives,false_negative_loss,false_positive_loss,total_realized_cost,expected_cost_per_txn
0.62,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.63,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.64,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.65,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.66,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.67,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.68,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.69,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.7,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.71,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.72,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.73,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.74,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.75,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.76,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.77,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.78,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.79,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.8,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.81,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.82,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.83,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.84,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.85,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.86,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.87,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.88,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.89,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.9,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.91,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.92,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.93,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.94,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.95,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.96,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.97,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.98,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
0.99,0.0,0.0,0.0,0,52,0,1148,10264.9,0.0,10264.9,8.55
